year,topic_name,mean_theta,topic,top_terms,label_vorlaeufig,interpretation_kurz,brauchbar
2021,Topic_6,0.05074370952505303,6,"for, portugal, iwf, saarland, amazon, internationalen, esm, bmu, gap, irland",EU / Großbritannien / Kommission,NA,TRUE
2021,Topic_7,0.049029550858450593,7,"hartz, kfw, hartz_hartz, atalanta, weimarer, europol, erdogan, syrische, bundesagentur, bnd",Bundeswehr / NATO / Balkan,NA,TRUE
2021,Topic_11,0.04890114015878626,11,"hisbollah, hamas, georgien, israelischen, iranischen, aserbaidschan, israelische, armenien, genfer, herzegowina",USA / Trump / Amerika,NA,TRUE
2021,Topic_12,0.055338152968910335,12,"rhein, chemnitz, neckar, rhein_neckar, schielke, ziesing, schielke_ziesing, sarai, djir_sarai, djir",Euro / Corona / Finanzpolitik,NA,TRUE
2021,Topic_13,0.048350185683046415,13,"ddr, ddr_ddr, sed, eeg, ostdeutsche, westdeutschland, münster, thüringer, npd, ost",Ostdeutschland / Sachsen / Berlin,NA,TRUE
2021,Topic_15,0.05056529802531652,15,"russischen, russische, russlands, putins, ukrainischen, zweiten, weltkrieg, ukrainische, sowjetunion, zweiten_weltkrieg",UN / Mali / Sahel,NA,TRUE
2022,Topic_1,0.047553816605739326,1,"großbritannien, briten, ceta, vereinigten, britischen, niederlanden, britische, london, großbritannien_großbritannien, niederlande",Israel / Libanon / Hamas,NA,TRUE
2022,Topic_2,0.04983850740088746,2,"cannabis, willy, bamf, amri, bundesamt, cannabis_cannabis, bundesamtes, maaßen, verfassungsschutz, kfor",Türkei / Syrien / Irak,NA,TRUE
2022,Topic_3,0.046249954912944785,3,"ezb, chemnitz, äthiopien, bundesbank, zentralbank, ezb_ezb, eritrea, menschenrechte, aachen, zwickau",Afrika / Entwicklung / BMZ,NA,FALSE
2022,Topic_4,0.049511799541444,4,"afghanistan, nationen, vereinten, vereinten_nationen, afghanistan_afghanistan, taliban, nationen_vereinten, afghanischen, unmiss, darfur",Bundesländer / Raumbezüge,NA,TRUE
2022,Topic_6,0.048922398401791245,6,"for, portugal, iwf, saarland, amazon, internationalen, esm, bmu, gap, irland",EU / Großbritannien / Kommission,NA,TRUE
